# Acid Tests baseline - captured GB frames, 160x144 PNG.
# emulator: gameroy
# generated: Wed, 22 Jul 2026 22:44:38 +0000
# source: https://tomek.rekawek.eu/GBEmulatorShootout/
# name|status|frames|image
acid/which.gb (DMG)|INFO|0|acid/which.gb (DMG).png
acid/dmg-acid2.gb|PASS|0|acid/dmg-acid2.png
blargg/cpu_instrs/01-special.gb|PASS|0|blargg/cpu_instrs/01-special.png
blargg/cpu_instrs/02-interrupts.gb|PASS|0|blargg/cpu_instrs/02-interrupts.png
blargg/cpu_instrs/03-op_sp,hl.gb|PASS|0|blargg/cpu_instrs/03-op_sp,hl.png
blargg/cpu_instrs/04-op_r,imm.gb|PASS|0|blargg/cpu_instrs/04-op_r,imm.png
blargg/cpu_instrs/05-op_rp.gb|PASS|0|blargg/cpu_instrs/05-op_rp.png
blargg/cpu_instrs/06-ld_r,r.gb|PASS|0|blargg/cpu_instrs/06-ld_r,r.png
blargg/cpu_instrs/07-jr,jp,call,ret,rst.gb|PASS|0|blargg/cpu_instrs/07-jr,jp,call,ret,rst.png
blargg/cpu_instrs/08-misc_instrs.gb|PASS|0|blargg/cpu_instrs/08-misc_instrs.png
blargg/cpu_instrs/09-op_r,r.gb|PASS|0|blargg/cpu_instrs/09-op_r,r.png
blargg/cpu_instrs/10-bit_ops.gb|PASS|0|blargg/cpu_instrs/10-bit_ops.png
blargg/cpu_instrs/11-op_a,(hl).gb|PASS|0|blargg/cpu_instrs/11-op_a,(hl).png
blargg/halt_bug.gb|PASS|0|blargg/halt_bug.png
blargg/instr_timing.gb|PASS|0|blargg/instr_timing.png
blargg/mem_timing/01-read_timing.gb|PASS|0|blargg/mem_timing/01-read_timing.png
blargg/mem_timing/02-write_timing.gb|PASS|0|blargg/mem_timing/02-write_timing.png
blargg/mem_timing/03-modify_timing.gb|PASS|0|blargg/mem_timing/03-modify_timing.png
blargg/mem_timing-2/01-read_timing.gb|PASS|0|blargg/mem_timing-2/01-read_timing.png
blargg/mem_timing-2/02-write_timing.gb|PASS|0|blargg/mem_timing-2/02-write_timing.png
blargg/mem_timing-2/03-modify_timing.gb|PASS|0|blargg/mem_timing-2/03-modify_timing.png
blargg/oam_bug/1-lcd_sync.gb|PASS|0|blargg/oam_bug/1-lcd_sync.png
blargg/oam_bug/2-causes.gb|FAIL|0|blargg/oam_bug/2-causes.png
blargg/oam_bug/3-non_causes.gb|PASS|0|blargg/oam_bug/3-non_causes.png
blargg/oam_bug/4-scanline_timing.gb|FAIL|0|blargg/oam_bug/4-scanline_timing.png
blargg/oam_bug/5-timing_bug.gb|FAIL|0|blargg/oam_bug/5-timing_bug.png
blargg/oam_bug/6-timing_no_bug.gb|PASS|0|blargg/oam_bug/6-timing_no_bug.png
blargg/oam_bug/8-instr_effect.gb|FAIL|0|blargg/oam_bug/8-instr_effect.png
blargg/dmg_sound/01-registers.gb|PASS|0|blargg/dmg_sound/01-registers.png
blargg/dmg_sound/02-len_ctr.gb|PASS|0|blargg/dmg_sound/02-len_ctr.png
blargg/dmg_sound/03-trigger.gb|PASS|0|blargg/dmg_sound/03-trigger.png
blargg/dmg_sound/04-sweep.gb|PASS|0|blargg/dmg_sound/04-sweep.png
blargg/dmg_sound/05-sweep_details.gb|PASS|0|blargg/dmg_sound/05-sweep_details.png
blargg/dmg_sound/06-overflow_on_trigger.gb|PASS|0|blargg/dmg_sound/06-overflow_on_trigger.png
blargg/dmg_sound/07-len_sweep_period_sync.gb|PASS|0|blargg/dmg_sound/07-len_sweep_period_sync.png
blargg/dmg_sound/08-len_ctr_during_power.gb|PASS|0|blargg/dmg_sound/08-len_ctr_during_power.png
blargg/dmg_sound/09-wave_read_while_on.gb|PASS|0|blargg/dmg_sound/09-wave_read_while_on.png
blargg/dmg_sound/10-wave_trigger_while_on.gb|PASS|0|blargg/dmg_sound/10-wave_trigger_while_on.png
blargg/dmg_sound/11-regs_after_power.gb|PASS|0|blargg/dmg_sound/11-regs_after_power.png
blargg/dmg_sound/12-wave_write_while_on.gb|PASS|0|blargg/dmg_sound/12-wave_write_while_on.png
daid/ppu_scanline_bgp.gb (DMG)|FAIL|0|daid/ppu_scanline_bgp.gb (DMG).png
daid/stop_instr.gb (DMG)|PASS|0|daid/stop_instr.gb (DMG).png
